course_id|course_name
course-269|SB4 Safety Performance Indicators in SMS / SB4 Indicadores de Desempeño de Seguridad en el SMS
course-270|SB2 Safety Management System Resilience / SB2 Resiliencia de Seguridad en el Sistema de Gestión de Seguridad
course-271|SA3 Emergency Response Planning / SA3 Respuesta a la Emergencia / Programa de Gestión de Crisis
course-272|SA1 Advanced Incident Investigation / SA1 Capacitación Avanzada en Investigación de Incidentes
course-273|Derecho Urbano - Eje Cafetero
course-274|Gestión de Proyectos con Enfoque de la Metodología PMI
course-275|Excel de Básico a Intermedio: Herramienta Clave para la Productividad
course-276|Emociones, voz y escena: exploración a través del teatro sensorial
course-277|Alta Gerencia de Negocios Gastronómicos
course-278|Estrategias y técnicas para la restauración ecológica de ecosistemas terrestres
course-279|Produciendo desde la mezcla, mezclando desde la producción: producción musical y mezcla en digital
course-280|Oficial de cumplimiento integral: Gobierno, control, riesgos y ética empresarial una formación especializada para liderar el cumplimiento en organizaciones éticas, resilientes y sostenibles.
course-281|El diseño teatral: Escenografía, iluminación y vestuario
course-282|Negociación efectiva: El poder de la comunicación no verbal
course-283|Liderazgo en salud: Innovación, comunicación y bienestar
course-284|Procesamiento de datos con tecnologías Big Data
course-285|Derecho Laboral
course-286|Derecho laboral administrativo: Fundamentos y principios
course-287|Actualización en código de procedimiento administrativo y de lo contencioso administrativo - Reforma Ley 2080
course-288|Estética dental - Bucaramanga
course-289|Marketing, Storytelling y distribución audiovisual - Medellín
course-290|Diario naturalista para educadores: una herramienta para conectar con la naturaleza
course-291|Iniciación al grabado experimental: monotipias y grabado en relieve
course-292|Conceptos Estéticos en Rehabilitación Oral
course-293|Interpretación de la Gasometría Arterial y Venosa, aplicación en el paciente agudamente enfermo
course-294|Presentaciones ejecutivas de alto impacto
course-295|Ensamblaje y objeto encontrado: una mirada a lo cotidiano desde el afecto
course-296|CREATIVIDAD + INVESTIGACIÓN ASISTIDA POR IA: Diseño, Arte y Arquitectura con herramientas abiertas y sin código
course-297|Fotografía de moda
course-298|Medicina de Precisión en Odontología
course-299|Sentido de la vida y bienestar organizacional: las 3 CS
course-300|Orar con los salmos
course-301|Discapacidades psicosociales: causas, signos de alerta y estrategias pedagógicas y de intervención en las aulas
course-302|Jesús de Nazaret. Una aproximación bíblica, arqueológica y espiritual
course-303|Comercio Exterior, Derecho Aduanero y Emprendimiento
course-304|Certificación Internacional en Metodologías Ágiles: Fundamentals - Medellín
course-305|Gerencia Comercial - Eje Cafetero
course-306|Instrumentos de ejecución del ingreso y el gasto público
course-307|Taller de Creatividad, Ilustración y Escritura para Artistas y no Artistas
course-308|Automatización Robótica de Procesos RPA: Fundamentos e Implementación
course-309|Consolidación de estados financieros
course-310|Formación de Coordinadores para Point of Care Testing - POCT
course-311|Tecnología y psiconutrición
course-312|Derecho disciplinario reforma ley 1952 y ley 2094
course-313|Psicología del Comportamiento Alimentario
course-314|Fundamentos Psiconutrición
course-315|Bienes temporales de la Iglesia
course-316|Storytelling y Presentaciones basadas en la Generación de Datos Estadísticos
course-317|Derecho De Seguros
course-318|Entrenamiento Prueba Saber 11
course-319|Estrategias de marketing y canales digitales para todos
course-320|Artículos de Investigación: ¿Cómo analizarlos críticamente?
course-321|Conociendo las emociones - Alianza con Santillana
course-322|Evaluación formativa como recurso pedagógico - alianza santillana
course-323|Aprendizaje creativo y motivación en el aula - Alianza con Santillana
course-324|Edumarketing - Alianza con Santillana
course-325|Neuroeducación y el diseño universal para el aprendizaje
course-326|Mediación para la formación de lectores críticos
course-327|Liderazgo Educativo para Directivos Docentes
course-328|Gestión de Proyectos con Microsoft® Project
course-329|Escritura creativa: Literatura infantil y juvenil –Cómo escribir cuentos y relatos para niños y jóvenes
course-330|Gerencia Financiera
course-331|Preparación para la Certificación Internacional PMP® del Project Management Institute PMI®
course-332|Live Cinema y Video Mapping creación audiovisual en vivo
course-333|Orquestación
course-334|Alimentación Consciente desde la Medicina Funcional
course-335|Gestión de proyectos de Automatización
course-336|Automatización en la construcción: Confort
course-337|Inglés Legal - Introducción al Sistema Legal de los EEUU
course-338|Atención integral a Víctimas de Violencia sexual y de Género
course-339|Soporte Vital Básico Bls
course-340|Laboratorio Internacional HÍBRIDA arte, creación y experimentación interdisciplinaria
course-341|Cine Japonés
course-342|SARLAFT - Barranquilla
course-343|Ciberseguridad: tu protección en el mundo digital - Barranquilla
course-344|Analítica para la Inteligencia de Negocios
course-345|Gestión de fondos de servicios educativos
course-346|Jóvenes inversionistas: valor y decisión
course-347|Marcas que Inspiran: Tu Primer Curso de Marketing o mercadeo
course-348|Cartografía pedagógica parala innovación educativa
course-349|Citogenética clásica y molecular: Uso en el diagnóstico clínico y la investigación
course-350|Crea tu propio negocio: de estudiante a empresario
course-351|Crea tu propio negocio: de estudiante a empresario
course-352|Intervención de Enfermería para la Prevención y Control de Infecciones Asociadas a la Atención en Salud
course-353|R3 Human Factors in Safety / R3 Factores Humanos en Seguridad
course-354|R1 Aviation Safety Management Systems / R1 Sistema de Gestión de Seguridad Aérea (SMS)
course-355|Indicadores para el Diseño de Políticas Públicas y Programas Sociales
course-356|Biología Molecular Aplicada a la Detección, Identificación y Diagnóstico de Microorganismos Infecciosos
course-357|Morfología de Células Hemáticas: Asociación con diferentes patologías
course-358|Demografía para la Gestión en Salud Pública
course-359|Gerencia en Enfermería
course-360|Viaje Iniciático de Crecimiento Personal
course-361|Gestión Ambiental y Salud Pública: una mirada integradora
course-362|Atención Integral del Paciente con Enfermedades Huérfanas / Raras
course-363|Cuidado al Paciente Oncológico
course-364|Aproximación a los Temas de Envejecimiento y Vejez desde las Ciencias Sociales
course-365|La Producción Campesina y Familiar: Bases Conceptuales para la Formulación de Políticas Públicas
course-366|“Las Mujeres de a Pie” Recuperación de la Historia Social de las Mujeres desde la Genealogía de Nuestras Ancestras
course-367|Atención Integral del Paciente Intoxicado: Aprendizaje mediante Simulación de Alta Fidelidad
course-368|Errores innatos del metabolismo de molécula pequeña
course-369|Francisco, Un Líder Mundial
course-370|Cuidado al Adulto Mayor para Cuidadores con Formación Técnica en Salud
course-371|Dificultades Infantiles dentro y fuera del Aula desde una Perspectiva Neuropsicológica
course-372|Papa Francisco: aporte latinoamericano a la iglesia universal
course-373|El Papa y su inspiración en Francisco de Asís: ecología, dignidad y fraternidad
course-374|CASH (Transferencias Monetarias)
course-375|Arquitectura Paramétrica: Nuevas Tecnologías y Sostenibilidad
course-376|Prácticas Artísticas: Invención del Conocimiento Investigación en Artes
course-377|Arte y Fotografía, Herramientas Creativas para la Producción Fotográfica
course-378|Implementación Medidas de Justicia Transicional en Colombia
course-379|Metodologías para el Trabajo con las Memorias
course-380|Inteligencia Artificial Aplicada al Análisis de Texto y a la Organización de la Información
course-381|Aprendiendo con Videojuegos
course-382|El Poder de la Transformación Digital: Principios, Retos, Oportunidades
course-383|Gobierno Corporativo y Compliance - Caribe
course-384|Negocios de Moda Sostenible: Visión desde la Economía Circular y Transformación Digital
course-385|Introducción a la Pedagogía y Didáctica
course-386|Entrenamiento Prueba Saber 11 - Ibague
course-387|Actualización aduanera y en comercio exterior: decreto 659 de 2024 - Caribe
course-388|LITIGIO SOCIETARIO
course-389|Odontología en la Era de la Inteligencia Artificial
course-390|JUSTICIA RESTAURATIVA Y MEDIACIÓN PENAL
